"corpus","name","months","sex","utterance"
"bloom70","Target","20","male","no"
"bloom70","Target","20","male","no"
"bloom70","Target","20","male","yyy car"
"bloom70","Target","20","male","yyy car"
"bloom70","Target","20","male","yyy truck"
"bloom70","Target","20","male","all gone"
"bloom70","Target","20","male","see"
"bloom70","Target","20","male","window"
"bloom70","Target","20","male","look"
"bloom70","Target","20","male","eh eh eh eh eh eh eh"
"bloom70","Target","20","male","Daddy"
"bloom70","Target","20","male","hello"
"bloom70","Target","20","male","hello"
"bloom70","Target","20","male","car"
"bloom70","Target","20","male","see"
"bloom70","Target","20","male","car"
"bloom70","Target","20","male","boy"
"bloom70","Target","20","male","xxx"
"bloom70","Target","20","male","xxx"
"bloom70","Target","20","male","hi"
"bloom70","Target","20","male","man"
"bloom70","Target","20","male","mommy"
"bloom70","Target","20","male","hello hello hello"
"bloom70","Target","20","male","hand hand hand yyy"
"bloom70","Target","20","male","window"
"bloom70","Target","20","male","hand yyy"
"bloom70","Target","20","male","window"
"bloom70","Target","20","male","yyy hand"
"bloom70","Target","20","male","eh eh eh"
"bloom70","Target","20","male","hello hello"
"bloom70","Target","20","male","see"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","hand"
"bloom70","Target","20","male","I see you"
"bloom70","Target","20","male","car"
"bloom70","Target","20","male","I see you"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","heavy heavy"
"bloom70","Target","20","male","heavy heavy"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","Benny Bear"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","Bunny"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","bebe"
"bloom70","Target","20","male","baby bear yyy"
"bloom70","Target","20","male","horsie"
"bloom70","Target","20","male","see"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","dudu"
"bloom70","Target","20","male","yyy"
"bloom70","Target","20","male","yyy"
