"corpus","name","months","sex","utterance"
"braunwald","Laura","17","None","bear"
"braunwald","Laura","17","None","do you"
"braunwald","Laura","17","None","yeah"
"braunwald","Laura","17","None","dropped xxx"
"braunwald","Laura","17","None","inside"
"braunwald","Laura","17","None","Jim"
"braunwald","Laura","17","None","bubble"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","pepper"
"braunwald","Laura","17","None","burp"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","pah"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","pah"
"braunwald","Laura","17","None","pah"
"braunwald","Laura","17","None","towel"
"braunwald","Laura","17","None","poo"
"braunwald","Laura","17","None","shoe"
"braunwald","Laura","17","None","shoe"
"braunwald","Laura","17","None","shoe"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","ohoh"
"braunwald","Laura","17","None","potty"
"braunwald","Laura","17","None","yeah"
"braunwald","Laura","17","None","mine"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","okay"
"braunwald","Laura","17","None","bye"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","bye bye"
"braunwald","Laura","17","None","ga"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","cry"
"braunwald","Laura","17","None","recorder"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","oompa"
"braunwald","Laura","17","None","ah"
"braunwald","Laura","17","None","poor"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","mine"
"braunwald","Laura","17","None","argh"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","umbrella"
"braunwald","Laura","17","None","bye house"
"braunwald","Laura","17","None","door"
"braunwald","Laura","17","None","it is Dwww"
"braunwald","Laura","17","None","Deedee"
"braunwald","Laura","17","None","recorder"
"braunwald","Laura","17","None","my recorder"
"braunwald","Laura","17","None","Swww"
"braunwald","Laura","17","None","pat"
"braunwald","Laura","17","None","recorder"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","my recorder"
"braunwald","Laura","17","None","door"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","Jwww"
"braunwald","Laura","17","None","go"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","hee"
"braunwald","Laura","17","None","boo boo"
"braunwald","Laura","17","None","wonky"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","pool"
"braunwald","Laura","17","None","www"
"braunwald","Laura","17","None","hi"
"braunwald","Laura","17","None","bottle"
"braunwald","Laura","17","None","bottle"
"braunwald","Laura","17","None","ah"
"braunwald","Laura","17","None","bottle"
"braunwald","Laura","17","None","want"
"braunwald","Laura","17","None","gone where"
"braunwald","Laura","17","None","euch"
"braunwald","Laura","17","None","recorder"
"braunwald","Laura","17","None","want my bottle"
"braunwald","Laura","17","None","bottle"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","bottle"
"braunwald","Laura","17","None","bottle"
"braunwald","Laura","17","None","milk"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","yes"
"braunwald","Laura","17","None","meese please"
"braunwald","Laura","17","None","book"
"braunwald","Laura","17","None","baby"
"braunwald","Laura","17","None","book"
"braunwald","Laura","17","None","baby"
"braunwald","Laura","17","None","baby"
"braunwald","Laura","17","None","eye"
"braunwald","Laura","17","None","eye"
"braunwald","Laura","17","None","bottle"
"braunwald","Laura","17","None","Jwww"
"braunwald","Laura","17","None","bottle"
"braunwald","Laura","17","None","sure"
"braunwald","Laura","17","None","baby"
"braunwald","Laura","17","None","no no"
"braunwald","Laura","17","None","blanket"
